Loan_to_value_cohorts,Loan Count,Average Current Balance,Max Current Balance,Min Current Balance
(<=85),344.0,223985.91279069768,729750.0,43300.0
(>85 & <=90),823.0,235966.17861482382,729750.0,22500.0
(>90 & <=95),796.0,209504.33542713567,561700.0,28500.0
(>95),37.0,200910.1891891892,371510.0,65475.0
Total,2000.0,870366.6160218464,2392710.0,159775.0
