loan_age_cohorts,Loan Count,Average Current Balance,Max Current Balance,Min Current Balance
0,16.0,256425.3125,404700.0,88065.0
0-9 months,286.0,232426.08041958042,562500.0,45000.0
10-19 months,738.0,230096.9837398374,720000.0,25018.0
20-29 months,535.0,212730.57570093457,729750.0,22500.0
30-39 months,253.0,206465.6561264822,546376.0,41705.0
>=40 months,172.0,226834.53488372092,729750.0,35000.0
Total,2000.0,1364979.1433705557,3693076.0,257288.0
