Element,Symbol,Abundance (%)
Oxygen,O,46.00%
Silicon,Si,27.70%
Aluminium,Al,8.20%
Iron,Fe,4.10%
Calcium,Ca,3.60%
Sodium,Na,2.80%
Potassium,K,2.50%
Magnesium,Mg,2.00%
Titanium,Ti,0.40%
Hydrogen,H,0.10%
Phosphorous,P,0.10%
Manganese,Mn,0.10%
