Name ,Location,About ,Latitude,Longitude
American Great Lakes,U.S & Canada,accounts for 21 % of  Earth’s surface fresh water,45.052238,-82.484612
Antartic Ice Shelf,Antartica,holds 90 % of Earth’s surface fresh water ,-90,0
Lake Baikal,Russia,holds 20 % of Earth’s unfrozen surface fresh water,53.5,108
Lake Victoria,"Kenya, Uganda, and Tanzania",second largest freshwater lake by surface area,-1,33
Lake Tanganyika,"Burundi, Zambia, Tanzania, and the Democratic Republic of Congo",second largest volume fresh water lake,-6.5,29.833332
