Name,Location,Average Annual Wind speed in mph,Latitude ,Longitude
Wellington,New Zealand,27,-41.28664,174.77557
Commonwealth Bay,Antartica,50,-67.006549,142.657298
Mount Washington,New Hampshire,32,44.2705854,-71.3032723
Rio Gallegos,Argentina,30,-51.6230485,-69.2168291
