Rank,Country,Area(km2),Area(mi2),Continent,Bordering countries by land,
1,Vatican City,0,0,Europe,Italy,
2,Monaco,2,1,Europe,France,
3,Nauru,21,8,Australia and Oceania,-,
4,Tuvalu,26,10,Australia and Oceania,-,
5,San Marino,61,24,Europe,Italy,
6,Liechtenstein,160,62,Europe,"Austria, Switzerland",
7,Marshall Islands,181,70,Australia and Oceania,-,
8,Saint Kitts and Nevis,269,104,North America,-,
9,Maldives,300,116,Asia,-,
10,Malta,316,122,Europe,-,
