Mountain peak,Range,Location,Lattitude(edited),Longitude(edited),Lattitude ,Longitude,Height ft.,Height m
Everest1,Himalayas,Nepal/Tibet,27.9881,86.925,27.9881° N,86.9250° E,"29,035","8,850"
K2 (Godwin Austen),Karakoram,Pakistan/China,35.88,76.5151,35.8800° N,76.5151° E,"28,250","8,611"
Kanchenjunga,Himalayas,India/Nepal,27.7025,88.1475,27.7025° N,88.1475° E,"28,169","8,586"
Lhotse I,Himalayas,Nepal/Tibet,27.9626,86.9336,27.9626° N,86.9336° E,"27,940","8,516"
Makalu I,Himalayas,Nepal/Tibet,27.8857,87.0876,27.8857° N,87.0876° E,"27,766","8,463"
