Country,Coastline (Kilometres)
Canada,"202,080"
Norway,"58,133"
Indonesia,"54,720"
Russia,"37,653"
Philippines,"36,289"
Japan,"29,751"
Australia,"25,760"
United States,"19,924"
Antarctica,"17,968"
New Zealand,"15,134"
