Species,Population
Bacteria( Total),4 quadrillion quadrillion
Ants(multiple species),10 billion billion
Marine fish(multiple species),3.5 trillion
Cattle(Bos taurus),1.4 billion
Humans(Homo sapiens),7 billion
Antarctic krill(Euphausia suberba),500 trillion
Sheep(Ovis aries),1.1 billion
Domestic chickens(Gallus gallus domesticus),18.6 billion
Great whales(10 species),3 million
Elephants(2 species),0.5 million
