Ocean Name,Area(Million Square Miles),Bordered number of countries
Pacific Ocean,63.8,41
Atlantic Ocean,41.1,133
Indian Ocean,27.24,36
Southern Ocean,7.849,0
Arctic Ocean,5.427,8
,,
,,
,,
,,
