Name,Location,Maximum Temperature in Fahrenheit,Latitude,Longitude
Death Valley,California,134,36.246618,-116.8169955
El Azizia,Libya,120,32.5307,13.0213
Kebili,Tunusia,131,33.7072,8.9715
Ghadames,Libya,131,30.1318,9.4951
Araouane,Mali,130,18.9043,3.5275
