Details, Surface area( M km²) , Surface area in percent ,,
Saltwater, 352.10 , 69.03 ,,
Freshwater, 9.03 , 1.77 ,,
Good land that can be farmed, 44.68 , 8.76 ,,
Mountains, 29.79 , 5.84 ,,
Covered by snow land, 29.79 , 5.84 ,,
Dry land, 29.79 , 5.84 ,,
Land doesn't have topsoil, 14.89 , 2.92 ,,
