Name,Location, Depth ft. ,Latitude ,Longitude,Known as:,,,
Challenger Deep,Mariana Trench," 36,201 ",11.3733,142.5917,Lowest known point,,,
Krubera Cave,Georgia," 7,188 ",43.4058,40.3573,Lowest point underground,,,
Denman Glacier,Antartica," 11,500 ",66.45,99.3,Lowest point on land not covered by liquid water,,,
Dead Sea,"Israel, Palestine, Jordan"," 1,419 ",31.559,35.4732,Lowest point on dry land,,,
,,,,,,,,
