Name ,Location,Temperature in Fahrenheit,Latitude,Longitude
Dome Fuji,Antartica,-135.76,-77.31694,39.70333
Vostok Research Station,Antartica,-128.56,-77.5,106
Amundsen-Scott South Pole Station,Antartica,-117.04,-90,-139.2667
Dome Argus,Antartic Plateau,-116.5,-80.366667,77.35
Mount McKinley,Alaska,-100.84,63.0695,-151.0074
